demo_key,expected_outcome,work_id,chamber,work_category,state,ida,mp_name,constituency,work_description,recommended_date,sanction_date,sanction_amount,work_status,completion_date,amount_disbursed_completed,total_fund_disbursed,num_payments,vendor_name,latest_expenditure_date,latest_payment_status,days_to_sanction,days_since_sanction,cost_zscore,duration_days,vendor_work_count,flag_sanction_delay,flag_stuck_work,flag_cost_outlier,flag_fast_completion,flag_round_amount,flag_vendor_concentration,flag_payment_stuck,anomaly_score,anomaly_label,flag_reasons
ordinary_solar,Low,DEMO-001,LS,Normal/Others,Uttar Pradesh,DEMO DISTRICT (DEMO COLLECTORATE_IDA),"Demo Placeholder MP (synthetic, not a real member)",DEMO CONSTITUENCY (SYNTHETIC),Installation of Solar Light near Panchayat Bhawan at Neelkanthpur village,2025-06-10,2025-07-02,20944.0,Work Completed,2025-10-18,20944.0,20944.0,1,Chandrapur Works & Supplies (demo vendor),2025-10-18,Payment Success,22,425,0.0,108,4,False,False,False,False,False,False,False,0,0,No rule-based flags
ordinary_road,Low,DEMO-002,LS,Normal/Others,Bihar,DEMO DISTRICT (DEMO COLLECTORATE_IDA),"Demo Placeholder MP (synthetic, not a real member)",DEMO CONSTITUENCY (SYNTHETIC),"Construction of CC road from Marutinagar chowk to the primary school, Behrapur village",2025-05-04,2025-06-01,990705.0,Work Completed,2025-12-11,990705.0,990705.0,1,Chandrapur Works & Supplies (demo vendor),2025-12-11,Payment Success,28,456,0.0,193,4,False,False,False,False,False,False,False,0,0,No rule-based flags
ordinary_pump,Low,DEMO-003,LS,Normal/Others,Telangana,DEMO DISTRICT (DEMO COLLECTORATE_IDA),"Demo Placeholder MP (synthetic, not a real member)",DEMO CONSTITUENCY (SYNTHETIC),"Providing hand pump with platform at Ambedkar tola, Sirsanapalli village",2025-08-20,2025-09-15,200000.0,Work partially Completed,,120000.0,120000.0,1,Chandrapur Works & Supplies (demo vendor),2025-09-15,Payment Success,26,350,0.0,,4,False,False,False,False,False,False,False,0,0,No rule-based flags
overpriced_8x,High or Critical (cost),DEMO-004,LS,Normal/Others,Telangana,DEMO DISTRICT (DEMO COLLECTORATE_IDA),"Demo Placeholder MP (synthetic, not a real member)",DEMO CONSTITUENCY (SYNTHETIC),"Providing hand pump with platform at Gangaram tola, Sirsanapalli village",2025-08-22,2025-09-18,1600000.0,Work partially Completed,,800000.0,800000.0,1,Chandrapur Works & Supplies (demo vendor),2025-09-18,Payment Success,27,347,0.0,,4,False,False,False,False,False,False,False,0,0,No rule-based flags
overpriced_2_5x,"Medium or High (cost, graded)",DEMO-005,LS,Normal/Others,Uttar Pradesh,DEMO DISTRICT (DEMO COLLECTORATE_IDA),"Demo Placeholder MP (synthetic, not a real member)",DEMO CONSTITUENCY (SYNTHETIC),Installation of Solar Light near the community water tank at Neelkanthpur village,2025-06-12,2025-07-05,52360.0,Work Completed,2025-11-02,52360.0,52360.0,1,Chandrapur Works & Supplies (demo vendor),2025-11-02,Payment Success,23,422,0.0,120,4,False,False,False,False,False,False,False,0,0,No rule-based flags
duplicate_original,Medium or High (duplicate),DEMO-006,LS,Normal/Others,Bihar,DEMO DISTRICT (DEMO COLLECTORATE_IDA),"Demo Placeholder MP (synthetic, not a real member)",DEMO CONSTITUENCY (SYNTHETIC),"Construction of Samudayik Bhawan in public place at Murgiya Chak, Behrapur panchayat, demo district",2025-07-01,2025-07-28,1000000.0,Vendor Identification,,400000.0,400000.0,1,Chandrapur Works & Supplies (demo vendor),2025-07-28,Payment Success,27,399,0.0,,4,False,False,False,False,False,False,False,0,0,No rule-based flags
duplicate_copy,Medium or High (duplicate),DEMO-007,LS,Normal/Others,Bihar,DEMO DISTRICT (DEMO COLLECTORATE_IDA),"Demo Placeholder MP (synthetic, not a real member)",DEMO CONSTITUENCY (SYNTHETIC),Construction of Samudayik Bhawan public place Murgiya Chak Behrapur panchayat demo district,2025-07-03,2025-08-19,1020000.0,Vendor Identification,,400000.0,400000.0,1,Chandrapur Works & Supplies (demo vendor),2025-08-19,Payment Success,47,377,0.0,,4,False,False,False,False,False,False,False,0,0,No rule-based flags
split_1,High (split work),DEMO-008,LS,Normal/Others,Bihar,DEMO DISTRICT (DEMO COLLECTORATE_IDA),"Demo Placeholder MP (synthetic, not a real member)",DEMO CONSTITUENCY (SYNTHETIC),"Widening and strengthening of Behrapur approach road, reach 1, chainage 0 to 400 m",2025-04-02,2025-05-05,998400.0,Vendor Identification,,299520.0,299520.0,1,Behrapur Infra Contractors (demo vendor),2025-05-05,Payment Success,33,483,0.0,,4,False,False,False,False,False,False,False,0,0,No rule-based flags
split_2,High (split work),DEMO-009,LS,Normal/Others,Bihar,DEMO DISTRICT (DEMO COLLECTORATE_IDA),"Demo Placeholder MP (synthetic, not a real member)",DEMO CONSTITUENCY (SYNTHETIC),"Widening and strengthening of Behrapur approach road, reach 2, chainage 400 to 800 m",2025-04-02,2025-05-06,997600.0,Vendor Identification,,299280.0,299280.0,1,Behrapur Infra Contractors (demo vendor),2025-05-06,Payment Success,34,482,0.0,,4,False,False,False,False,False,False,False,0,0,No rule-based flags
split_3,High (split work),DEMO-010,LS,Normal/Others,Bihar,DEMO DISTRICT (DEMO COLLECTORATE_IDA),"Demo Placeholder MP (synthetic, not a real member)",DEMO CONSTITUENCY (SYNTHETIC),"Widening and strengthening of Behrapur approach road, reach 3, chainage 800 to 1200 m",2025-04-02,2025-05-07,999100.0,Vendor Identification,,299730.0,299730.0,1,Behrapur Infra Contractors (demo vendor),2025-05-07,Payment Success,35,481,0.0,,4,False,False,False,False,False,False,False,0,0,No rule-based flags
